"w-auto src","w-auto src 2","transition 2","Text-sc-1xtb652-0","Text-sc-1xtb652-0 2","material-symbols-icon","antialiased","material-symbols-icon 2","antialiased 2","material-symbols-icon 3","text-neutral-13","material-symbols-icon 4","text-neutral-13 2","material-symbols-icon 5","material-symbols-icon 6","Text-sc-1xtb652-0 3","Text-sc-1xtb652-0 4","Text-sc-1xtb652-0 5","Text__Span-sc-1xtb652-1","Text__Span-sc-1xtb652-1 2","Box-sc-n9h3nv-0","antialiased 3","text-priceSuper-body1","price","whitespace-pre","text-priceSuper-heading6","relative 2","relative 3","whitespace-pre 2","Text-sc-1xtb652-0 6","Text-sc-1xtb652-0 7","hidden","hidden 2","antialiased 4","Text-sc-1xtb652-0 8","w-auto src 3","w-auto src 4","w-auto src 5"
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/bu/16603/BU_IFAR_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Mid-Size SUV","Mazda Cx-50 or similar","person","5","work","1","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1","506 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","48","/day","$","551","474","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8eb~~refCode-27-55ccf6c2-91f2-44c6-97c6-c995ebe358b1~20260318T12:00~20260325T12:00~BU~IFAR~USD~473.98~~~~~396.99~550.93~~~N~df0929a3-e2ed-4cf5-aefe-0d126915769c~~473.98~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8eb~~refCode-27-9039a395-cca4-49c2-ab65-b09863427150~20260318T12:00~20260325T12:00~BU~IFAR~USD~550.93~~~~~~~~~N~f5c31733-d645-44af-b06c-ddea2864b7aa~~550.93~USD*","","","","",""
"","","","","","","Don't miss out on VIP perks!","","Sign in or become a member for free to unlock VIP discounts!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/em/16313/EM_PPAR_US.png?width=268&height=144&opto","https://s1.pclncdn.com/rc-static/v2/partner-logos/EM/EM_20251118015246.png?width=250&height=72&opto&fit=bounds","","Premium Pickup Truck","Ford F150 or similar","person","Priceline Pick","work","Save on your booking with us. Includes free cancellation.","check","Unlimited Mileage","","","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Shuttle to Car","9.1","163 Ratings","","Supplied by one of these brands","$","56","/day","","535","","total","Includes taxes and fees","Pay Now","SMF~SMF~NM~Y~~19cdf9fd8ec~~refCode-27-594fe9d2-179b-47ef-a34f-1042a8712080~20260318T12:00~20260325T12:00~EM~PPAR~USD~535.44~~~~~357.01~517.87~~~N~3bbbdf98-30b5-464f-800f-53134600af15~~470.79~USD*","","5","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/bu/16603/BU_SSAR_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Sports Car","Ford Mustang Coupe or similar","person","4","work","2","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1","506 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","45","/day","$","466","446","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8eb~~refCode-27-bff82c65-7145-48a9-a7b4-fb80bcc8fb2c~20260318T12:00~20260325T12:00~BU~SSAR~USD~445.87~~~~~328.99~466.13~~~N~82029b1d-aa79-44a4-9f68-499d077bc89a~~445.87~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8eb~~refCode-27-4b866fb2-e524-4074-90fb-c03647234444~20260318T12:00~20260325T12:00~BU~SSAR~USD~466.13~~~~~~~~~N~7e81b757-c5ed-46a0-bbfc-010bbd015b77~~466.13~USD*","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/bu/16603/BU_IXAE_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Compact Electric SUV","Kia Niro or similar","person","5","work","2","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1","506 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","27","/day","$","310","298","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8eb~~refCode-27-87c8137f-b671-429c-b1b7-b8dba9a4152d~20260318T12:00~20260325T12:00~BU~IXAE~USD~297.97~~~~~195.99~310.04~~~N~7f963183-675c-4c02-8335-55badca84986~~297.97~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8eb~~refCode-27-fda4913c-9e76-400e-b365-7f8198e12026~20260318T12:00~20260325T12:00~BU~IXAE~USD~310.04~~~~~~~~~N~81b87ba6-5b94-42ab-b303-4e72e80efd0c~~310.04~USD*","Electric","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/bu/16603/BU_RFAR_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Standard Elite SUV","Ford Explorer or similar","person","7","work","2","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1","506 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","52","/day","$","591","520","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8ea~~refCode-27-00591f1e-f3fc-494b-8fd8-165a69e29ec8~20260318T12:00~20260325T12:00~BU~RFAR~USD~519.66~~~~~420.99~590.98~~~N~d8c158f0-2f9b-4702-819b-0f4678247d4d~~519.66~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8ea~~refCode-27-8dbde3fc-d174-4559-ab63-af394ac3e6d8~20260318T12:00~20260325T12:00~BU~RFAR~USD~590.98~~~~~~~~~N~ceda8382-e066-46ab-9f4c-a04ac4d476b3~~590.98~USD*","","","","",""
"https://s1.pclncdn.com/rcimages/tr/media/vehicle/images/0CHvmXzjTqWp0i85EGrYnQ.heic?opto&width=268&height=144&crop=16:9","https://s1.pclncdn.com/rc-static/v2/partner-logos/TR/TR_20240722124658.png?width=250&height=72&opto&fit=bounds","","Kia Sorento 2017","Car on Airport","person","5","","","check","First 1400 miles free","check","Counterless Pick-Up","info","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","5","Learn More","","Show All Turo Cars","Car sharing","$","36","/day","","","303","total","Includes taxes and fees","Pay Now","SMFT01~SMFT01~RP~Y~~19cdf9fd8eb~~refCode-27-607a607e-a540-4838-9883-f2865f5bb0cf~20260318T12:00~20260325T12:00~TR~SFDV~USD~303.05~~~~~~~~~N~3c0d096b-2d21-4458-8b52-4e837b40d8e3~38.69509,-121.59006;38.69509,-121.59006;7891693;AIRPORT;3549757;303.05;USD~303.05~USD*","","CANCELLATION AVAILABLE","on Turo","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/hz/16463/HZ_JFDR_US.jpg","https://s1.pclncdn.com/rc-static/v2/partner-logos/HZ/HZ.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Mid-Size SUV","Volvo Xc60 Hybrid or similar","person","5","work","4","check","Unlimited Mileage","check","Skip the Counter","","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.8","168 Ratings","","","$","65","/day","$","735","624","total","Includes taxes and fees","Choose","SMF~SMF~RP~Y~~19cdf9fd8ec~~refCode-27-ed38db62-4af6-4584-8c16-028389b67c47~20260318T12:00~20260325T12:00~HZ~JFDR~USD~623.96~~~~~544.38~734.56~~~N~a079066a-d397-422c-8e9a-d333e009e049~~623.96~USD*","SMF~SMF~R~Y~~19cdf9fd8ec~~refCode-27-977714a2-2b7f-4dd4-9ffe-dd40c516d1fd~20260318T12:00~20260325T12:00~HZ~JFDR~USD~734.56~~~~~~~~~N~68719ff1-2fc6-4571-b9a1-5a56e9b5ea15~~734.56~USD*","CANCELLATION AVAILABLE","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/bu/16603/BU_LFAR_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Luxury SUV","Lincoln Navigator or similar","person","7","work","3","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1","506 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","111","/day","","","1,042","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8eb~~refCode-27-1c2387c6-1a84-47e1-9b44-3f9fa21b9f34~20260318T12:00~20260325T12:00~BU~LFAR~USD~1042.35~~~~~818.99~1092.79~~~N~64999689-a4ce-4af3-92be-60a646dcd486~~1042.35~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8eb~~refCode-27-a898df01-324c-4db6-97af-4762d44c9799~20260318T12:00~20260325T12:00~BU~LFAR~USD~1092.79~~~~~~~~~N~8364e338-6ca6-4d84-8aeb-0d772c7390ed~~1092.79~USD*","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/generic/domestic_268x144_p/SCAR.png?opto&auto=webp&width=268","https://s1.pclncdn.com/rc-static/v2/partner-logos/AL/AL.png?width=88&height=44&opto&fit=bounds","","Standard-Size Car","Volkswagen Jetta or similar","person","4","work","2","check","Unlimited Mileage","","","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.1+","163+ Ratings","","Supplied by one of","$","23","/day","$","451","249","total","Includes taxes and fees","Pay Now","A-SMF~A-SMF~23.16~249.48~AL-BU-ZR-SX-ZT~refCode-27-721d7554-8db0-43f0-9fe7-cc5a0a410cfc~19cdf9fd8ec~20260318T12:00~20260325T12:00~SCAR~USD~T2~217.99~USD~912d859b-a1f7-4b91-83e9-2f526c3b4ec6*f8ff2eeb7cb34ad95af5f136b557bc11","","these brands","Save up to 45%","https://s1.pclncdn.com/rc-static/v2/partner-logos/BU/BU_20240910101820.png?width=88&height=44&opto&fit=bounds","https://s1.pclncdn.com/rc-static/v2/partner-logos/ZR/ZR_20250904032348.png?width=88&height=44&opto&fit=bounds","https://s1.pclncdn.com/rc-static/v2/partner-logos/SX/SX_20250326112925.jpg?width=88&height=44&opto&fit=bounds"
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/av/16603/AV_SSAR_US.png","https://s1.pclncdn.com/rc-static/v2/partner-logos/AV/AV.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Sports Car","Ford Mustang Coupe or similar","person","4","work","2","check","Pay at Pick-up","check","Unlimited Mileage","check","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8","148 Ratings","Sign In for a VIP-Only Discount","FREE CANCELLATION","$","57","/day","$","575","549","total","Includes taxes and fees","Choose","SMF~SMF~R~Y~~19cdf9fd8ec~~refCode-27-e65daf72-f958-4bba-b7de-a4e2f77d607b~20260318T12:00~20260325T12:00~AV~SSAR~USD~548.87~~~~~416.99~574.57~~~N~c288d89b-ca84-4c61-84bf-24bffd6787d2~~548.87~USD**78B319B5E7AB18F7CA0E6A4FC49AA0C0ACDA5CFBF381F453","SMF~SMF~R~N~~19cdf9fd8ec~~refCode-27-36218f24-bc0f-47cb-9678-7e736a76a761~20260318T12:00~20260325T12:00~AV~SSAR~USD~574.57~~~~~~~~~N~8e2ad66e-e3dc-4965-930a-f1b7b32f371c~~574.57~USD*","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/al/16403/AL_PGAR_US.png?width=268&height=144&opto","https://s1.pclncdn.com/rc-static/v2/partner-logos/AL/AL.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Premium Crossover","Dodge Durango or similar","person","7","work","3","check","Pay at Pick-up","check","Unlimited Mileage","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","9.1","163 Ratings","","FREE CANCELLATION","$","72","/day","","","684","total","Includes taxes and fees","Pay Later","SMF~SMF~R~N~~19cdf9fd8ea~~refCode-27-be6e77da-5d60-44cb-a7a6-5c33c02dc2f4~20260318T12:00~20260325T12:00~AL~PGAR~USD~683.99~~~~~~~~~N~b1d796bf-ef5a-4ca9-8340-0663febff8fc~~683.99~USD*","","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/generic/domestic_268x144_p/SFAR.png?opto&auto=webp&width=268","https://s1.pclncdn.com/rc-static/v2/partner-logos/AV/AV.png?width=88&height=44&opto&fit=bounds","","Standard Elite SUV","Ford Explorer or similar","person","5","work","3","check","Unlimited Mileage","","","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8+","23+ Ratings","","Supplied by one of","$","48","/day","$","648","521","total","Includes taxes and fees","Pay Now","A-SMF~A-SMF~47.81~520.98~AV-ET-HZ-NA~refCode-27-2769d8ba-5d21-46d1-b78c-4d964e5f84e5~19cdf9fd8ec~20260318T12:00~20260325T12:00~RFAR~USD~T1~482.54~USD~6da89153-d176-45f2-a5a4-c76b7ddfd833*dc2f511bb75c210e16d3a8b40f15793c","","these brands","Save up to 20%","https://s1.pclncdn.com/rc-static/v2/partner-logos/ET/ET.png?width=88&height=44&opto&fit=bounds","https://s1.pclncdn.com/rc-static/v2/partner-logos/HZ/HZ.png?width=88&height=44&opto&fit=bounds","https://s1.pclncdn.com/rc-static/v2/partner-logos/NA/NA.png?width=88&height=44&opto&fit=bounds"
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/zr/16463/ZR_FCAR_US.jpg","https://s1.pclncdn.com/rc-static/v2/partner-logos/ZR/ZR_20250904032348.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Full-Size Car","Chevrolet Malibu or similar","person","5","work","3","check","Unlimited Mileage","check","Online Check-in","","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.5","376 Ratings","","FREE CANCELLATION","$","37","/day","$","430","374","total","Includes taxes and fees","Choose","SMF~SMF~RP~Y~~19cdf9fd8ec~~refCode-27-205a1401-6f32-48d5-8360-2fdcec011e7d~20260318T12:00~20260325T12:00~ZR~FCAR~USD~374.25~~~~~302.29~430.14~~~N~374ca8e5-0a7f-440f-957d-317dfcfa3fd8~~374.25~USD*","SMF~SMF~R~N~~19cdf9fd8ec~~refCode-27-bc0af0a1-d6ea-443b-b230-cd31679e3483~20260318T12:00~20260325T12:00~ZR~FCAR~USD~430.14~~~~~~~~~N~9d614aa3-81f2-4582-943c-7df14fcf7088~~430.14~USD*","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/et/16403/ET_WFAR_US.png?width=268&height=144&opto","https://s1.pclncdn.com/rc-static/v2/partner-logos/ET/ET.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Luxury SUV","BMW X7, Range Rover Sport or similar","person","5","work","4","check","Pay at Pick-up","check","Unlimited Mileage","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","9.1","93 Ratings","","FREE CANCELLATION","$","343","/day","","","3,026","total","Includes taxes and fees","Pay Later","SMF~SMF~R~N~~19cdf9fd8ec~~refCode-27-415ef160-8425-47e9-984d-7d9f9ef28707~20260318T12:00~20260325T12:00~ET~WFAR~USD~3026.36~~~~~~~~~N~807f6039-9f77-4a5d-a4b7-5771121e3146~~3026.36~USD*","","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/hz/16463/HZ_FRAR_US.jpg","https://s1.pclncdn.com/rc-static/v2/partner-logos/HZ/HZ.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Full-Size SUV","Nissan Pathfinder or similar","person","7","work","2","check","Unlimited Mileage","check","Skip the Counter","","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Airport Shuttle to Rental Car Center","8.8","168 Ratings","","","$","59","/day","$","716","573","total","Includes taxes and fees","Choose","SMF~SMF~RP~Y~~19cdf9fd8ec~~refCode-27-5f00f00d-d4e1-43a8-9ddc-e765450764d6~20260318T12:00~20260325T12:00~HZ~FRAR~USD~572.56~~~~~529.40~716.11~~~N~5ab801e3-a35a-4bed-b6b7-24dfd2c26fa2~~572.56~USD*","SMF~SMF~R~Y~~19cdf9fd8ec~~refCode-27-8f75fbf2-0696-4510-b47f-8575d6e873f7~20260318T12:00~20260325T12:00~HZ~FRAR~USD~716.11~~~~~~~~~N~d8996fd9-91de-42d7-a228-1c999f80ea8e~~716.11~USD*","CANCELLATION AVAILABLE","","","",""
"","","","","","","","","","","","","","","","","","","","","Load More","","","","","","","","","","","","","","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/em/16313/EM_PGAR_US.png?width=268&height=144&opto","https://s1.pclncdn.com/rc-static/v2/partner-logos/EM/EM_20251118015246.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Premium Crossover","Dodge Durango or similar","person","7","work","3","check","Unlimited Mileage","","","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Shuttle to Car","9.1","163 Ratings","","FULLY REFUNDABLE","$","71","/day","","","656","total","Includes taxes and fees","Pay Now","SMF~SMF~NM~Y~~19cdf9fd8ec~~refCode-27-71936acc-7c5e-4884-97a3-4a7278a84a5a~20260318T12:00~20260325T12:00~EM~PGAR~USD~656.43~~~~~466.65~644.26~~~N~a771903e-ea43-4aea-85ec-6a55d1a9892d~~585.69~USD*","","Supplied by one of these brands","","","",""
"https://s1.pclncdn.com/rc-static/v2/vehicles/partner/em/16313/EM_CCAR_US.png?width=268&height=144&opto","https://s1.pclncdn.com/rc-static/v2/partner-logos/EM/EM_20251118015246.png?width=250&height=72&opto&fit=bounds","Quick Pick-Up","Compact Car","Nissan Versa or similar","person","5","work","2","check","Unlimited Mileage","","","","","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","Shuttle to Car","9.1","163 Ratings","","FULLY REFUNDABLE","$","37","/day","","","363","total","Includes taxes and fees","Pay Now","SMF~SMF~NM~Y~~19cdf9fd8ec~~refCode-27-a145e451-7aa5-47fe-a87a-3cae4ddfe132~20260318T12:00~20260325T12:00~EM~CCAR~USD~363.46~~~~~228.89~340.33~~~N~abb7ee76-4de3-4c09-8c63-677163c5e551~~309.39~USD*","","Supplied by one of these brands","","","",""
"https://s1.pclncdn.com/rcimages/tr/media/vehicle/images/6FRQnUDAT4OC-TyQaVGJSQ.jpg?opto&width=268&height=144&crop=16:9","https://s1.pclncdn.com/rc-static/v2/partner-logos/TR/TR_20240722124658.png?width=250&height=72&opto&fit=bounds","","Audi Q5 2013","Car on Airport","person","5","","","check","First 1750 miles free","check","Counterless Pick-Up","info","info","Pick-up & Drop-off","Sacramento Intl Airport (SMF)","4.92","Learn More","","","Car sharing","$","57","/day","","","472","total","Includes taxes and fees","Pay Now","SMFT01~SMFT01~RP~Y~~19cdf9fd8eb~~refCode-27-fb0ed9dd-6de5-49c8-88d4-40be7db3fdb5~20260318T12:00~20260325T12:00~TR~PFDV~USD~472.16~~~~~~~~~N~ee970e98-8c2f-429e-bc5b-23a89f8e2cd9~38.69509,-121.59006;38.69509,-121.59006;7891693;AIRPORT;2501771;472.16;USD~472.16~USD*","","CANCELLATION AVAILABLE","on Turo","","",""
